ident,type,name,elevation_ft,continent,iso_country,iso_region,municipality,gps_code,iata_code,local_code,coordinates,iso_region_len
US-0479,small_airport,Oakfield RLA Airport,810.0,,US,US-IL,KANEVILLE,IL85,,IL85,"-88.570278, 41.846387",5
US-0481,small_airport,Postoak Airport,1120.0,,US,US-TX,LAMPASAS,76TA,,76TA,"-98.224372, 31.301419",5
US-0482,small_airport,Sugar Hollow RLA Airport,700.0,,US,US-IL,LANE,IL27,,IL27,"-88.831603, 40.129295",5
US-0487,small_airport,Mena Airport,639.0,,US,US-TX,LILLIAN,85TA,,85TA,"-97.149856, 32.463158",5
US-0488,small_airport,Goose Landing Airport,110.0,,US,US-LA,LORANGER,LS26,,LS26,"-90.307628, 30.636065",5
US-0489,small_airport,Rememberance Airport,3276.0,,US,US-TX,LUBBOCK,82TE,,82TE,"-101.938542, 33.421253",5
US-0490,small_airport,Weitz Airport,2289.0,,US,US-ID,MARSING,ID10,,ID10,"-116.832522, 43.594819",5
US-0492,small_airport,McClellan Creek Airport,2796.0,,US,US-TX,MCLEAN,0TS9,,0TS9,"-100.629575, 35.340105",5
US-0494,small_airport,Mercury Ranch Airport,801.0,,US,US-OK,MILBURN,2OK1,,2OK1,"-96.518658, 34.192302",5
US-0495,small_airport,Stichnoth RLA Airport,700.0,,US,US-IL,MILFORD,68IL,,68IL,"-87.567222, 40.613531",5
US-0496,small_airport,Sundre Airport,1555.0,,US,US-ND,MINOT,ND36,,ND36,"-101.202508, 48.1911667",5
US-0497,small_airport,Oliair Airport,75.0,,US,US-LA,MONROE,LS20,,LS20,"-91.7198861, 32.2561056",5
US-0498,small_airport,Oligrow Airport,88.0,,US,US-LA,MONROE,LS15,,LS15,"-91.540041, 32.2962333",5
US-0499,small_airport,Carrar Farm Airport,1547.0,,US,US-PA,MONTROSE,7PA6,,7PA6,"-75.873902, 41.9337778",5
US-0500,small_airport,Nettle Creek Landings Airport,608.0,,US,US-IL,MORRIS,IL68,,IL68,"-88.5224722, 41.4320667",5
US-0502,small_airport,Kleinik RLA Airport,668.0,,US,US-IL,NOKOMIS,6IL7,,6IL7,"-89.2562542, 39.3830236",5
US-0506,small_airport,Dean Schwenk RLA Airport,693.0,,US,US-IL,PESOTUM,89IL,,89IL,"-88.3048333, 39.9168889",5
US-0509,small_airport,Pfau Airstrip,997.0,,US,US-MN,PRINCETON,MN68,,MN68,"-93.482312, 45.656815",5
US-0510,small_airport,Springhill Field Airport,1160.0,,US,US-WI,RICHLAND CENTER,7WI7,,7WI7,"-90.427222, 43.454168",5
US-0513,small_airport,Old Valley Airport,1168.0,,US,US-TN,SHARPS CHAPEL,TN13,,TN13,"-83.825555, 36.32833",5
US-0515,small_airport,Sunny V Ranch Airport,1231.0,,US,US-TX,SISTERDALE,7TS3,,7TS3,"-98.6771167, 29.9323694",5
US-0520,small_airport,Delva Field Airport,545.0,,US,US-TX,VAN,00TX,,00TX,"-95.67313, 32.544452",5
US-0521,small_airport,Ross Airport,890.0,,US,US-OH,WAKEMAN,26OH,,26OH,"-82.3561167, 41.2098056",5
US-0524,small_airport,J & H Airport,3903.0,,US,US-TX,WILDORADO,5TS7,,5TS7,"-102.1516056, 35.201725",5
US-0529,small_airport,Hodges Field Airport,455.0,,US,US-GA,AMERICUS,4GA0,,4GA0,"-84.1299667, 32.1234861",5
US-0530,small_airport,Riverbend Ranch Airport,1272.0,,US,US-KS,AUGUSTA,77KS,,77KS,"-96.841453, 37.647486",5
US-0533,small_airport,Arland Airport,1352.0,,US,US-KS,BENNINGTON,00AR,,00AR,"-97.602305, 38.968768",5
US-0534,small_airport,Gaitros STOL Airport,683.0,,US,US-IL,CERRO GORDO,88IL,,88IL,"-88.733277, 39.942276",5
US-0553,small_airport,Younglove/Otterbach Airport,694.0,,US,US-IL,EARLVILLE,IL55,,IL55,"-88.99904, 41.535651",5
US-0554,small_airport,Corn Alley 2 Airport,728.0,,US,US-IL,EL PASO,74IL,,74IL,"-89.016593, 40.755681",5
US-0555,small_airport,Sawtooth Airport,1550.0,,US,US-AZ,ELOY,AZ04,,AZ04,"-111.68153, 32.660846",5
US-0556,small_airport,Flying Gluepie Ranch Airport,1451.0,,US,US-CA,FIDDLETOWN,74CA,,74CA,"-120.803483, 38.467604",5
US-0557,small_airport,Joseph Scott Airport,1059.0,,US,US-MO,FREDERICKTOWN,MU22,,MU22,"-90.194266, 37.688677",5
US-0558,small_airport,Crag Mountain Airport,487.0,,US,US-AK,SUTTON,52AK,,52AK,"-148.908783, 61.704033",5
US-0560,small_airport,Tommy's Field Airport,1561.0,,US,US-TN,GREENVILLE,4TN5,,4TN5,"-82.6325, 36.150833",5
US-0561,small_airport,Sands Airport,4310.0,,US,US-ID,HORSESHOE BEND,ID67,,ID67,"-116.2627083, 43.8606806",5
US-0562,small_airport,Serenity Field Airport,76.0,,US,US-LA,INDEPENDENCE,14LA,,14LA,"-90.536051, 30.615509",5
US-0563,small_airport,Happy Landings Airport,700.0,,US,US-TN,BIRCHWOOD,4TN1,,4TN1,"-84.960956, 35.371547",5
US-0569,small_airport,Fokker Field,50.0,,US,US-LA,BUSH,2LA8,,2LA8,"-89.873134, 30.591771",5
US-0571,medium_airport,Williston Basin International Airport (U.C.),2344.0,,US,US-ND,WILLISTON,,,XWA,"-103.748797, 48.258387",5
US-0573,small_airport,Fisch RLA Airport,650.0,,US,US-IL,WALNUT,IL83,,IL83,"-89.599026, 41.599583",5
